Company,Position
DEEPTECK | The Community for Deep Technology,Member Engagment Officer
The Hong Kong Jockey Club,Customer and International Business Development Division
Kata.ai,Finance Accounting Manager
Blue Umbrella Limited,Junior Analyst
HEX Capital,Managing Partner
United Overseas Bank Limited (UOB),Personal Banking Associate 
Popay Satori Montessori School,Teacher
HedgeVista,Analyst
HKUST AIChE,Program Secretary for the American institute of Chemical Engineering  – HKUST Chapter            
Happyer,"Founder & CEO - Hong Kong, Singapore"
"Endeavor Technology, Inc.",Software Engineer
University of Sydney,Summer Research Affiliate
The Hong Kong University of Science and Technology,Student Ambassador
Deloitte Consulting,Analyst
China Construction Bank (Asia) Corporation Limited,Assistant Manager
Goldman Sachs,Summer Analyst
Tycoon Executive Search,Partner
Monash University,Research Student
Saatchi & Saatchi Greater China,Production Team Intern
Entrepreneur First,General Manager
The Hong Kong University of Science and Technology,Peer Mentor
Prime House Enterprises Limited,Intern
Generation Girl,Co-founder & Advisor
"eFishery, Pte. Ltd.",Chief Executive Officer
YOOF,Head Of Operations - coworking and coliving spaces
SightEcho,Product and Firmware Intern
Datanest,Head of Data Science
Tokopedia,Senior Product Manager - Entreprise IT
AIA,Head of Innovative Technologies
Credit Suisse,IT Summer Analyst
Elastic,User Success Manager
Kata.ai,VP Product & Engineering
Zillow,Market Analyst
JPMorgan Chase & Co.,Associate
The Hong Kong University of Science and Technology,Campus Ambassador
Sai Decor Interior,Co-Founder
MatchTalent,Senior Consultant | Digital Technology Recruitmen
Shopee,Machine Learning Engineer
Rockpool Capital Limited,Intern
C3.ai,Software Engineer
Gojek,Full Stack Engineer Intern
OCBC Bank,Graduate Talent (Management Trainee)
Netease Games,Game Developer
Credit Suisse,VP
Accenture,Technology Consultant
Andrew Found,Senior Consultant
TalentQuest Recruitment,Sr. Recruitment Consultant
Bank OCBC NISP,Digital Acquisitions Intern
OY! Indonesia,Software Engineer Intern
The Students' Union at UWE,Student Representative
brainsfeed Ltd.,Co-Founder
JPMorgan Chase & Co.,Machine Learning Intern
Agile-1,"General Manager, Direct Hire (Permanent & Contingent Recruitment) & RPO"
TURNED-E! Education,Co-Founder
Tencent,Software Engineer Intern
GO-PAY,Full Stack Engineer
Fifth Wall,Summer Analyst
Kata.ai,CEO & Co-Founder
Feedloop,CEO & Co-Founder
Kata.ai,Research Scientist
Microsoft,Software Engineer
Sun Life,"Head, Digital Distribution Asia"
Germanrealestate.com,Senior Sales Executive
Kata.ai,Product Manager
Kata.ai,Software Engineer
YouTrip,Assistant Talent Manager
designlab,Administrator
Fusion Ltd.,Business Development Manager
Natural Herbal Hair Care (HK) Ltd,Sales and Marketing Manager
Xccelerate,Director Enterprise Solutions
"Straub Collaborative, Inc",Project Manager
"Department of Chemical and Biological Engineering, HKUST",Independent Undergraduate Researcher
EY,"Intern, Transaction Advisory Services"
Career Architects Limited,"Business Owner, Director and CEO"
HSBC,Winter Apprentice - Global Finance
UBS,Software Developer
Self-Employed,"Tech blogger, web developer, and system administrator - linuxwebdevelopment.com"
GoGoSchoolClub,Chief Executive Officer
Beehire Personnel Limited,Software Developer and Recruitment Consultant
Andrew Found,Director & Founder
Morgan Stanley,Trading Assistant
Lamb Weston,Marketing Intern
University of Oxford,DPhil Candidate
Macquarie Group,Technology Analyst
Agorize,Business Development Lead (Hong Kong & Greater China)
Arco City Coworking & Office Space,Project Manager
Excelian | Luxoft Financial Services,Junior Analyst
Walt Disney World,Cast Member
The Hong Kong University of Science and Technology,Research Assistant
J.P. Morgan,Student Ambassador
Shopee,Software Engineer Intern
McKinstry,Accounts Payable Coordinator
Kata.ai,Research Scientist
BMO Financial Group,"Business Analyst, Financial Technology and Business Management"
GOLDEN STATE ASSEMBLY L.L.C.,Mechanical Engineering Intern
MGM Resorts International,Software Engineering Intern
Hukumonline.com,Head of Data Science and Engineering
Techleap.nl,Data Analyst
Brinc.io,"Co-Founder, COO & Board Member"
Thankyou,Accounts Receivable
ASB Biodiesel (Hong Kong) Ltd,Co-op: Production Engineer
Third Bridge Group Limited,Project Manager
Agilysys,Software Engineer Intern
Jardine Matheson,Executive Trainee
Synpulse Management Consulting,Associate Consultant
AlphaSights,Professional Development Summer Associate
Aston Educational Group,English Language Instructional Intern
A.T. Kearney,Management Consultant
Entrepreneur First,Talent and Operations Analyst
Terminal 1,"Recruiter, Head Of Product Development"
Deloitte China,Deloitte Club Member
SimPlus Private Limited,Software Developer Intern
HKUST Business School,Peer Mentor
Canopy,Career Success Manager | world's first video based job platform
DECATHLON HONG KONG,Omni Sport Leader - Nabaiji
Credit Suisse,Technical Analyst
J.P. Morgan,Summer Analyst
UIUC Image Formation and Processing Group,Research Assistant
BOCI,Part-time Staff (Private Banking)
FireVisor Systems Pte. Ltd.,Co-Founder
United Overseas Bank Limited (UOB),Corporate Strategy Analyst and Business Technology Intern
"POSTECH, DPNM research lab",Blockchain Research Intern
South China Morning Post SCMP,"Senior Yield Executive, Digital"
Artificial Intelligence Society of Hong Kong,Executive Committee (Communications Lead)
Foothill College,Math Tutor
The Hong Kong University of Science and Technology,Head Student Ambassador
Team Study,CEO & Co-Founder
EY,Capstone Project
Tesla,Technical Program Manager Intern - Design Energy
Specifyit,CEO & Co-founder (Part-Time)
The World Bank,IT Summer Analyst
Faculty Econ & Business,Teacher Economics and Business / OCM
Arthur D. Little,ADL Business Analyst
BIZGO,Market Analyst
Unilever,People Experience Lead - HR Asst. Manager
Grayling,Account Executive
Square,Artificial Intelligence Engineer
Langham Hall,Fund Accountant Intern
HKUST,I am retired starting July 2018
Katherine Amara Public Relations,Senior Account Executive
iGEM Competition,"Advisor, Student Researcher of the HKUST International Genetically Engineered Machine (iGEM) Team"
J.P. Morgan,Incoming Markets Summer Analyst
PwC,Accountant
The International Consulting Club at HKUST,Associate
adidas,"Assistant Manager, Apparel Strategy Sourcing "
HSBC Private Banking,Summer Analyst
Richstone Group Pty Ltd,Hydraulic Drafter
PT. Indoshopping Abadi,Business Development Manager
Huawei,Research Intern
Terminal 1,Recruiter & Head of Data Science
Singapore Armed Forces (SAF),Security Trooper
Atkins,Vacation Trainee
Lalamove,Product Manager
PwC Hong Kong and Mainland China,Associate Consultant
Oracle,Software Engineer
Schulte Research,Founder and Editor
Rempah Kita,Owner
星展銀行,Graduate Associate
IRESC,Risk Consultant 1
Asian Medical Students' Association (AMSA) International,LO to IFMSA
HSBC,Industrial Placement Trainee
Willis Towers Watson,Investment Analyst Intern
PwC Hong Kong and Mainland China,LEAP Programme
Hult Prize Foundation,"Campus Director, HKUST"
The Hong Kong University of Science and Technology,Research Assistant
Deloitte Digital,Analyst
YourNest Venture Capital,Investor Relations - Analyst 
CENTI,Founder and CEO
华兴资本,Equity Sales Intern
The Hong Kong University of Science and Technology,Engineering Student Ambassador
KPMG,Deal Strategy Associate
Purdue University,Port Cafe Student Supervisor
AAA Crypto currency consultant,Blockchain and cryptocurrencies private investor
Massachusetts Institute of Technology,Undergraduate Researcher
YourThai,Waitstaff
Universidade de São Paulo,Student Assiatant
Flexible Coworking Space Operator,APAC Social Media Editor 
UnDosTres,Full Stack Developer
Goxip,Talent Acquisition Specialist
International Society for Telemedicine & eHealth,Member Medical and Bio-Informatics Working Group
Pinewood Technologies,Software Developer (Platform)
Goldman Sachs,Summer Analyst
Xynergy Realty,Property Management Intern
Value Partners Group 惠理集團,"Associate, Performance and Portfolio Analytics"
Northstar Group,Private Equity Analyst Intern
ActiveKids Ltd,"STEM Teacher, Software Engineer, and Project Consultant"
"Mercedes-Benz Research & Development North America, Inc.",Associate Software Engineer
Hong Kong Exchanges and Clearing Limited (HKEX),"Officer, Group Credit and Quantitative Analysis"
Tsinghua Tonheng Urban Planning and Design Institute,Intern - Center for Innovation and Technology
Universitas Pelita Harapan,Intern
香港科技大學,Rising Junior in Computer Science
ICBC International,Equity Research Associate
AIA,Group Strategy Intern
iClick Interactive Asia Limited,Account Manager
Clare.AI - Conversational Banking and Insurance,Software Engineer Intern
中金公司,Wealth Management Summer Analyst
A+A,Internship
DP World,IT Intern
Ballard Power Systems,Catalyst Coated Membrane(CCM) Characterization and Process Development Co-op
Specialist Recruiter at HSBC via Allegis Global Solutions,Specialist Recruiter---Private Banking
Philip Morris International,Associate Analyst IS Systems
CLP,Engineer II (Gas Turbine)
Swiss Re,Underwriting Design Consultant - Graduate
"Fossil Group, Inc.",eCommerce Product Analyst
DJI,Algorithm Engineer
UBS,APAC Marketing Analyst
Traveloka,Business Operations Improvement Intern
Bloomberg LP,Bloomberg Acadmy Participant
Arup,Graduate Consultant
WHub,Part-Time Digital Marketing Intern 
Alta Capital Partners,Investment Banking Fall Analyst
Exclusive Photo Studio,Independent Business Owner
Remo.co,Chief Technology Officer
Remo.co,"Founder, CEO"
WSP in Asia,Assistant Engineer
Red Fuse Communications,Regional Account Executive
Shopee,Regional Head of Operations
CNN,"PR Trainee, Communications, Asia Pacific"
Arabesque S-Ray,Backend Development Intern
Aromeo Diffuser,Hardware Product Manager
COWI,Assistant Engineer
The MM Community,Business Intern
L'Oréal,Supply Chain Assistant (Travel Retail Asia Pacific)
HSBC Private Banking,Summer Analyst
Ramsay Health Care,Finance Assistant
The Hong Kong University of Science and Technology,Student Ambassador
PwC Hong Kong and Mainland China,Assurance Associate (Financial Services)
Eugene Group,Product Marketing Executive
Light Innovation Technology Ltd,Product Engineer (Part-time)
Cathay Pacific Airways,Procurement Executive Components and Landing Systems
Options Technology,Technical Support Engineer
HSBC,Placement Trainee
The University of Nottingham Malaysia Campus,Survey Telemarketer
The Economist,Integrated Media Sales Intern
Citi,Analyst
HedgeVista,Manager
SC Ventures by Standard Chartered,Member
Retykle,Operations Intern
Origami Labs,Co-Founder & COO
Selby Jennings,Consultant
The Hong Kong University of Science and Technology,Teaching Assistant
JPMorgan Chase & Co.,Associate
Morgan Stanley,Junior Flow-Trader
Wells Fargo,APAC Technology Intern
EY,"Valuation, Modeling & Economics Senior Associate"
Soqqle,Founder
Pureform Technology,Co-Founder / CPO
The Hong Kong University of Science and Technology,"International Student Ambassador, Department of Industrial Engineering & Decision Analytics"
viAct.ai | AI for Smart Construction,Chief Executive Officer
HKPC - Hong Kong Productivity Council,Intern - Corporate Sustainability
Goldman Sachs,Analyst
HKUST,Research Assistant
S&P Global,Associate
JB Hired,Regional Key Account Manager
OnPrem Solution Partners,Analyst
Capstone Securities Analysis Pvt Ltd,Summer Intern
Entrepreneur First,Mentor
Turing Chain Institute,Co-Founder & CTO
PLAYSTUDIOS ASIA,Platform Engineer
Third Bridge Group Limited,Associate 
AlphaSights,Campus Ambassador
"Freelance Interior and exterior Designer and 3D Artist, 3D Modeler and Animator",Professional Freelancer
Crédit Agricole CIB,"Asia Syndicate, MTNs & Private Placement"
Dayta,Machine Learning Engineer Intern
NISI (HK) Limited,Accounting and Finance Intern
AIA,Premier Unit Manager (Challenge District) at AIA
HIF Creative,Creative Director
"Active Tools International, Ltd.",Project Engineer
APRU International Secretariat - Hong Kong Office,Student Programs and Communications Assistant
Bloomberg LP,Capstone Project
Chengbao Limited,Software Developer
Goldman Sachs,Incoming Markets
Rad Wellness Center,Virtual Assistant/Wellness Coach
AIA,Financial Planner
EWB-HK,Joint Sharing Session for Overseas Social Services Projects
Bank of China (Hong Kong),"Manager, Global Corporate Banking"
LexisNexis,Senior Account Manager
Bank of China (Hong Kong),"Relationship Manager, Commercial Banking"
IDEMIA,Test Factory Engineer
HSBC,Recruitment Business Partner via Alexander Mann Solutions
Maharaja Shree Umaid Mills Ltd.,SAP Practice Head 
EY,Financial Services Consultant (Technology Risk)
Coherent,Actuarial Analyst
The University of Hong Kong,"Senior Executive Director, Marketing & Admissions, Masters and Exec Ed, HKU Business School"
South China Morning Post SCMP,Senior writer and columnist 主筆 及專欄作家
贝恩公司,Consulting Intern - PTA
Davis Polk & Wardwell LLP,Trainee Solicitor
McKinsey & Company,Incoming Business Analyst
Charterhouse Hong Kong,Director - Human Resources and International Education Recruitment
AlphaSights,Associate
Ant Financial,Software Engineering Intern
LG Electronics,Brand Ambassador
AIA,Unit Manager
J.P. Morgan,Finance Analyst
PT. Dinamik Struktural Sistem,Engineer Intern
Penn State University,Undergraduate Student
WilliamSELECT,Consultant
Macquarie Group,Credit Risk Associate
J.P. Morgan,Analyst
Rakuten,Application Engineer
MiLA Capital (Make in LA),Summer Associate
Genius development Workshop Company Limited,Science Teacher
TUTORLINKING LTD.,Business Development Manager
Automation Anywhere,Machine Learning Intern
Harry Perkins Institute of Medical Research,Research scholar
Goxip,Digital Marketing Intern
Lamplight Analytics,Intern as Devops Engineer
Self-Employed,Senior iOS & Android App Developer
Deloitte,Risk Advisory Analyst
Thought Machine,Frontend Engineer
Ethos BeathChapman,Principal Consultant (Technology)
Newrecs Consultancy ,"Consultant, IT Recruitment & Senior Appointment "
International Committee of the Red Cross - ICRC,HR Program Officer
UBS,Equity Research Analyst
Student Innovation for Global Health Technology (SIGHT) at HKUST,Software Developer Intern
Paramount Pictures,Domestic Marketing Finance Intern
PERLIN,Front-End Developer
Amazon Web Services (AWS),Business Development Intern
PwC Mainland China and Hong Kong,Consulting Associate
IMPACTA LAB,Executive Director
Sutardja Center for Entrepreneurship and Technology,Technical Startup Mentor
Goldman Sachs,Seasonal Research Analyst (Portfolio Strategy)
J.P. Morgan,Brand Ambassador
J.P. Morgan Asset Management,"Analyst, Trading Technology"
Kenetic,"Software Engineer (High Frequency Trading), C++"
HKUST,Undergraduate Researcher
PayOk,Founder
Mindil Beach Casino Resort,VIP Host
Eclipse Trading,Graduate C++ Software Developer
Goldman Sachs,Securities Division Placement Analyst
EXLskills,"Chief Executive Officer, Co-founder"
Veolia,Innovation Manager
J.P. Morgan,Analyst
Walia Evolution,Founding Partner & Professional Financial Advisor
OYO UK,Senior Program Manager - Supply Strategy
Microsoft,"Technology Solutions Professional - Azure, Data & AI Intern"
American Express,Graduate Analyst
UBS,Summer Intern - Wealth Management Tech
DoorDash,Software Engineer
Goldman Sachs,Securities Analyst
Chappuis Halder & Co.,Senior Analyst
AVM Marketing Consultancy,Founder and Consultant
Rodan + Fields,Product Development 
Meinhardt Group,Graduate Engineer
Arup,Graduate Engineer
ORII - The Voice-powered Smart Ring,Engineer
Deloitte Consulting,Business Analyst
Six People Map Consultancy Limited,Senior Recruitment Consultant
HSBC,Sales & Trading Analyst
Emerson College,"Masters in Fine Arts Candidate, Literature and Creative Writing "
GENEWIZ,Associate Bioinformatics Scientist
EY,Staff Accountant
UBS,Summer Analyst - Cash Equities Technology
Hyper-Plane Innovation Pte Ltd,Director
Compathnion Technology Limited,Indoor Positioning and Data Engineer
American Express,"CES Customer First Specialist, HKCEN"
Lalamove,Software Engineer Intern
Onex,Private Equity Associate
KarlMUN,Director of the United Nations Security Council (UNSC)
The Egg Company,Digital Marketing Executive
IBM,Business and Technology Consultant Trainee
Bank of China,"Business Strategy Manager, Omni Channel Management, PBWM"
Deloitte,Senior Consultant (Business Development) | Asia Pacific 
Bahana Securities Pt,Research Data Analyst Intern 
J.P. Morgan,Analyst
Hong Kong Lacrosse Association,High Performance Programme (HPP) & Hong Kong Women’s Representative Team
The New York Times,Data and Product Analyst
ITCS Group,Solutions Consultant
Capstone Financial,Executive Director
Venturenix,Associate Director
Morgan McKinley Technology,Principal Consultant | Software Applications 
PwC,Associate
USC Viterbi School of Engineering,Masters Student
DSJ Global,Consultant - Technical Operations & Procurement 
PCCW Solutions Limited,International Sales and Marketing (Sales Operation)
Worldhunt Company Limited,Recruitment Consultant
仲量聯行,Graduate Trainee
Salt,Country Director
Hudson,Manager - Banking & Financial Technology
Bank of America Merrill Lynch,Analyst
The University of British Columbia,Senior Residence Advisor 
Huatai Financial Holdings (Hong Kong) Limited,HRBP & Talent Aquisition Manager
KPMG,Management Consultant
HSBC,"Regional Operations Manager, Recruitment and Onboarding"
On Personnel,Service Manager
MUFG,"Senior Technology & Finance Talent Acquisition Business Partner, EMEA"
Saddleback Church,Ministry Director
Worldhunt Company Ltd.,Recruitment Consultant
Volt14 Solutions Limited,Co-Founder
Bank of America Merrill Lynch,Trading Analyst
IBM,Consulting Associate
ENEA Consulting,Analyst
EY,Financial Services Consultant
美世,"HR Leader, Asia"
Lynk Global,Junior Associate
HSBC,Analyst
GripBeats,Hardware Software Engineering Intern
PwC Mainland China and Hong Kong,International Corporate Taxation
S&P Global Market Intelligence,Incoming Associate
L'Oréal,Strategic Business Development Intern
Jardine Matheson,Summer Trainee
Bank of America Merrill Lynch,Corporate Banking Analyst
IBM,Consulting Associate
Alphahōm,Co-Founder
ECGiT Private Limited,Application Engineer
Capco,Consultant
Ambi Labs,Machine Learning Engineer
Goldman Sachs,Technology Analyst
Wavestone,Analyst
Trusu,Founder & CEO
Arthur D. Little,Fall Business Analyst
Your Companion,Member
"Stem Cell and Cancer Institute, PT Kalbe Farma",Research Intern
University of Indonesia,Research Fellow
AF Education Limited,CEO and Founder
Procter & Gamble,Unit Manager
FinFabrik,Frontend Developer
PCCW,Sales Manager
Natixis,Graduate - Infra Finance & Advisory
Roland Berger,Consultant
Solid Circle,Social Media Business Strategist
FemaleJerseys,Owner
Starrystep Limited,Research Analyst
